,Second Peak Amplitude,Angle,Real/Predicted
0,0.33062891155226026,56.0,Real
1,0.5759667115394402,70.0,Real
2,0.41597351211584566,66.0,Real
3,0.40760555043723323,70.0,Real
4,0.38701931019573904,68.0,Real
5,0.6455962707047022,58.0,Real
6,0.3386265970744933,66.0,Real
7,0.93310122357322,68.0,Real
8,0.8324473354813088,64.0,Real
9,0.5866191111111225,58.0,Real
10,0.4849219769902583,66.0,Real
11,0.37046386982854806,70.0,Real
12,0.6632246872297053,66.0,Real
13,0.50183856267692,62.0,Real
14,0.37423306045580107,54.0,Real
15,0.7082655848649256,70.0,Real
16,0.39966456951647306,50.0,Real
17,0.2931481677254856,58.0,Real
18,0.41641880350544397,66.0,Real
19,0.5630766512533318,70.0,Real
20,0.5916408115400417,70.0,Real
21,0.6222108186733699,68.0,Real
22,0.44424144284318995,58.0,Real
23,0.41415500707977454,56.0,Real
24,0.3017255215401366,64.0,Real
25,0.5565626088603797,70.0,Real
26,0.5680231098143005,70.0,Real
27,0.32219681028071845,58.0,Real
28,0.3855077863764167,54.0,Real
29,0.45637467703398366,56.0,Real
30,0.5722704126168812,62.0,Real
31,0.3718356444175563,68.0,Real
32,0.2877103564175608,58.0,Real
33,0.36696454939119055,60.0,Real
34,0.507937810902442,62.0,Real
35,0.40600893906368996,66.0,Real
36,0.40253707999826877,56.0,Real
37,0.5279691217118772,60.0,Real
38,0.729418801661471,66.0,Real
39,0.4902890286138694,68.0,Real
40,0.44300755452309787,68.0,Real
41,0.4605492149686755,54.0,Real
42,0.39767574383372023,54.0,Real
43,0.7306665735616803,68.0,Real
44,0.3480646925060711,64.0,Real
45,0.6158768138641065,70.0,Real
46,0.6576018183083457,64.0,Real
47,0.4375242944188477,62.0,Real
48,0.5161155225826753,64.0,Real
49,0.5177519442316273,68.0,Real
50,0.49846872026761885,64.0,Real
51,0.564197641908951,56.0,Real
52,0.35721331649019783,58.0,Real
53,0.2767228066132591,62.0,Real
54,0.6383091629164204,66.0,Real
55,0.7125467462535935,50.0,Real
56,0.4531613080924444,64.0,Real
57,0.33448512590440915,56.0,Real
58,0.5521690481618423,64.0,Real
59,0.4954180909525823,68.0,Real
60,0.3700639035763846,62.0,Real
61,0.531464699926411,68.0,Real
62,0.8081904360909778,70.0,Real
63,0.39013081513030357,64.0,Real
64,0.7872201509113032,64.0,Real
65,0.62028594126134,68.0,Real
66,0.4323727386891202,60.0,Real
67,0.3451899557917467,68.0,Real
68,0.6044652579577077,66.0,Real
69,0.8027017205136475,60.0,Real
70,0.8270165330256984,50.0,Real
71,0.48524768267052004,52.0,Real
72,0.3831333575392114,66.0,Real
73,0.37780429095735724,58.0,Real
74,0.6339253545709194,66.0,Real
75,0.5692265276152766,70.0,Real
76,0.21773303182517034,54.0,Real
77,0.7260046779048538,64.0,Real
78,0.6033565691115478,60.0,Real
79,0.41110884337047704,60.0,Real
80,0.5772141574266526,54.0,Real
81,0.3064010806139746,58.0,Real
82,0.6514333313828817,68.0,Real
83,0.38576145938658135,64.0,Real
84,0.28237014164084656,62.0,Real
85,0.7372390744693462,52.0,Real
86,0.3557741253118393,60.0,Real
87,0.5369683392070099,70.0,Real
88,0.4957307848577455,66.0,Real
89,0.5381374786888101,62.0,Real
90,0.7602590498860006,56.0,Real
91,0.2615151948528579,54.0,Real
92,0.6905597532031429,54.0,Real
93,0.5702867308820652,54.0,Real
94,0.6164402638379379,68.0,Real
95,0.4543697031860786,58.0,Real
96,0.65236493909939,68.0,Real
97,0.21392552420187272,62.0,Real
98,0.37436306730383145,66.0,Real
99,0.4992299219939854,62.0,Real
100,0.6272207768489593,54.0,Real
101,0.4919709860424232,60.0,Real
102,0.766153869275475,52.0,Real
103,0.7121022335007448,62.0,Real
104,0.5365932173547023,70.0,Real
105,0.4042297500119781,64.0,Real
106,0.4267375694695999,70.0,Real
107,0.4914250959555302,60.0,Real
108,0.5118374613443767,70.0,Real
109,0.6080441473903444,58.0,Real
110,0.555086783787692,54.0,Real
111,0.3298846369473743,60.0,Real
112,0.5800031567715681,70.0,Real
113,0.14370640374659924,52.0,Real
114,0.6027013408673715,70.0,Real
115,0.73998269882993,64.0,Real
116,0.8600684985448622,62.0,Real
117,0.38650176615712795,50.0,Real
118,0.8622148467352831,54.0,Real
119,0.5689604582712038,68.0,Real
120,0.5773682327611656,58.0,Real
121,0.45123295611676917,66.0,Real
122,0.39022145779990364,60.0,Real
123,0.6352719077072799,70.0,Real
124,0.604386543154537,70.0,Real
125,0.5361854557012148,62.0,Real
126,0.7506891005809512,54.0,Real
127,0.6170719671842617,62.0,Real
128,0.6131210499646218,60.0,Real
129,0.4961416312648627,70.0,Real
130,0.35851103350105745,58.0,Real
131,0.3287854496830697,56.0,Real
132,0.3226570305693902,52.0,Real
133,0.47353174322801833,68.0,Real
134,0.6144543345766724,54.0,Real
135,0.5211932457738485,62.0,Real
136,0.5398085423698441,62.0,Real
137,0.29263066623318573,52.0,Real
138,0.499978349134665,52.0,Real
139,0.5588297585148961,70.0,Real
140,0.9952512177588491,68.0,Real
141,0.6395317587098193,70.0,Real
142,0.43411315316113613,58.0,Real
143,0.5456248834038807,52.0,Real
144,0.6861938137683007,56.0,Real
145,0.5257353626605958,52.0,Real
146,0.8096525911710858,60.0,Real
147,0.6127460909104347,54.0,Real
148,0.9073416731706713,58.0,Real
149,0.8485847318864023,60.0,Real
150,0.44501053754920444,68.0,Real
151,0.5438369044819004,56.0,Real
152,0.7081109527319746,68.0,Real
153,0.8451238501940154,52.0,Real
154,0.33630319989161295,56.0,Predicted
155,0.5685937840673475,70.0,Predicted
156,0.42435711124030556,66.0,Predicted
157,0.41610528478051606,70.0,Predicted
158,0.3747481460044996,68.0,Predicted
159,0.6318740330780457,58.0,Predicted
160,0.32479671359591117,66.0,Predicted
161,0.9189864117782934,68.0,Predicted
162,0.816600893141717,64.0,Predicted
163,0.603370272731557,58.0,Predicted
164,0.46323348025078903,66.0,Predicted
165,0.34809352405232963,70.0,Predicted
166,0.685989617988475,66.0,Predicted
167,0.528672091292743,62.0,Predicted
168,0.34669680849959533,54.0,Predicted
169,0.6805749368149102,70.0,Predicted
170,0.37086618784944475,50.0,Predicted
171,0.26312373018429036,58.0,Predicted
172,0.38575258690034475,66.0,Predicted
173,0.5951117190432736,70.0,Predicted
174,0.5593791701345547,70.0,Predicted
175,0.5873625673241667,68.0,Predicted
176,0.4084987551493611,58.0,Predicted
177,0.37797381180468886,56.0,Predicted
178,0.262204938395377,64.0,Predicted
179,0.5964522873392134,70.0,Predicted
180,0.6097791185166639,70.0,Predicted
181,0.2743049388165645,58.0,Predicted
182,0.43494249395988627,54.0,Predicted
183,0.4014339382760627,56.0,Predicted
184,0.629675483803848,62.0,Predicted
185,0.3134043692525292,68.0,Predicted
186,0.34630119393564734,58.0,Predicted
187,0.42634296291578777,60.0,Predicted
188,0.44699624884979444,62.0,Predicted
189,0.34376617343995586,66.0,Predicted
190,0.46544906538264935,56.0,Predicted
191,0.5927496188305857,60.0,Predicted
192,0.7947147604781062,66.0,Predicted
